# Daily price range for U-Market.
# Source: JNX_Trading_Rules_Equities_2.02, Appendix 2 (Price Range, U-Market).
#
# U-Market bands are twice the J/X-Market bands at every bracket.
lower_bound,band
0,60
100,100
200,160
500,200
700,300
1000,600
1500,800
2000,1000
3000,1400
5000,2000
7000,3000
10000,6000
15000,8000
20000,10000
30000,14000
50000,20000
70000,30000
100000,60000
150000,80000
200000,100000
300000,140000
500000,200000
700000,300000
1000000,600000
1500000,800000
2000000,1000000
3000000,1400000
5000000,2000000
7000000,3000000
10000000,6000000
15000000,8000000
20000000,10000000
30000000,14000000
50000000,20000000
